233619,1145445819 1034,0637133292912
741263,5811009149 736,9604173324769
2138261,8539042124 614,0709031801671
1124694,4077104665 539,4891991501208
448229,37424656795 524,9664598167292
1945642,6892928877 524,3193742954172
233877,63047291426 517,0318566646602
233360,5986162496 517,031856664631
225187,31816581354 515,7319567081286
2691423,2806113884 483,4164903559722
1191119,330057609 467,5707493077498
1717638,2996263374 431,7325849926565
1404852,8002088463 424,4443418881856
1235676,0760095343 399,8144439640455
741447,821205248 368,4802086662967
741079,3409965818 368,48020866618026
2445530,517756774 355,2366961161606
1786767,555521105 342,7937303900253
903797,77128966 342,3100012643263
1182033,0638043121 337,32244700659066
595359,2730485946 331,24480189720634
990957,5953937983 327,4918289220659
2342058,056102815 326,4481063145213
973127,9307898304 318,64457379328087
537134,16430059 313,7224921344314
686023,0727123653 310,01552717702
2166494,4779093442 308,50524353561923
2138108,3361784173 307,03545159008354
2138415,3716300074 307,03545159008354
108474,2205463669 304,0293226975191
644672,2385178031 304,0289908722043
1574538,6428133785 303,927455797093
630875,6367147164 294,8747993236175
605622,9372591655 288,24600398680195
74127,19503362407 286,0657753264386
618051,4896347693 277,7533237893367
1665063,11828966 274,94052323000506
1475899,239382792 270,9544011554681
361308,44595764717 270,55737458134536
1124829,2800102541 269,74459957517684
1124559,535410679 269,744599574944
2626202,337922517 267,4092801702209
488571,12336294726 263,2609135765233
448360,61586152215 262,4832299083937
448098,13263161376 262,4832299083355
1945511,609449314 262,1596871477086
1945773,7691364614 262,1596871477086
1893527,9140349387 261,8536721454002
2396701,1891134502 260,95720496820286
2722950,3547695773 259,32158735441044
233748,37250874809 258,51592833234463
234006,88843708043 258,5159283323155
233231,34065208345 258,5159283323155
233489,85658041574 258,5159283323155
225058,3851766365 257,8659783540643
225316,25115499058 257,8659783540643
2810362,643727517 253,68911650031805
1974821,688899606 253,39221929688938
36811,419850887076 253,30952122760937
749661,4151611881 253,07633567554876
1832641,444178601 252,68146855337545
1685962,2012055777 248,93896232079715
1904736,0422361605 248,6988699566573
2297825,5099462224 245,992593891453
10437,883770661916 245,06723987107398
702247,8633545286 244,2548838024959
710125,2014178839 244,25249887804966
2166121,433051112 243,4557749577798
514761,97819541086 242,4486763275927
2691544,1347339777 241,70824517821893
2691302,4264887995 241,70824517775327
1740093,3428765712 239,79718666756526
